keyword,search_volume,related_to
the children,100,children
children in need,30,children
children games,10,children
children act,10,children
save the children,5,children
children books,5,children
activities for children,5,children
games for children,5,children
safeguarding children,5,children
safeguarding,5,children
children stories,5,children
children first,5,children
children songs,5,children
railway children,5,children
little children,5,children
working with children,5,children
autism,5,children
children quotes,5,children
action for children,5,children
stories for children,5,children
the children act,5,children
children in need 2013,5,children
children in need 2012,0,children
children in need 2014,0,children
children in need 2015,0,children
charity jobs,100,charity
charity shop,95,charity
charity commission,90,charity
charity shops,90,charity
charities,40,charity
charity work,30,charity
charity furniture,25,charity
charity job,20,charity
charity number,20,charity
charity events,20,charity
charity shield,20,charity
jobs in charity,20,charity
charity event,15,charity
charity fundraising,15,charity
charity giving,15,charity
charity ideas,15,charity
charity people,15,charity
charity collection,15,charity
ebay charity,10,charity
charity christmas cards,10,charity
cancer research,10,charity
mind charity,10,charity
christmas cards,10,charity
charity bank,10,charity
mind,10,charity
donate blood,100,donate
blood,95,donate
charity,90,donate
donate to charity,65,donate
my donate,50,donate
text donate,45,donate
donate money,40,donate
als,35,donate
als donate,35,donate
donate clothes,30,donate
text to donate,30,donate
donate hair,25,donate
donate to als,25,donate
charities,20,donate
donate ice challenge,20,donate
donate furniture,20,donate
donate cancer research,20,donate
cancer research,20,donate
ice bucket challenge,20,donate
ice bucket challenge donate,20,donate
paypal donate,20,donate
how to donate als,20,donate
how to donate to als,15,donate
charities to donate to,15,donate
donate blood uk,15,donate
humanitarian aid,100,humanitarian
humanitarian intervention,85,humanitarian
humanitarian jobs,65,humanitarian
humanitarian definition,45,humanitarian
humanitarian work,45,humanitarian
international humanitarian law,40,humanitarian
humanitarian crisis,40,humanitarian
humanitarian protection,30,humanitarian
humanitarian meaning,20,humanitarian
red cross,15,humanitarian
define humanitarian,15,humanitarian
what is a humanitarian,15,humanitarian
world humanitarian summit,15,humanitarian
world humanitarian day,10,humanitarian
what does humanitarian mean,10,humanitarian
humanitarian logistics,10,humanitarian
humanitarian leadership academy,5,humanitarian
angelina jolie,5,humanitarian
google scholar,5,humanitarian
nhs humanitarian crisis,5,humanitarian
audrey hepburn,5,humanitarian
world humanitarian summit 2016,0,humanitarian
arthur ashe humanitarian award,0,humanitarian
world humanitarian day 2015,0,humanitarian
